title,author,genre,page number,rating,educational,message,role_model,violence,sex,language,consumerism,drugs
Pride and Prejudice,Jane Austen,Literary Fiction,368,5,3,4,4,0,1,0,1,1
The Adventures of Tom Sawyer,Mark Twain,Literary Fiction,256,5,4,3,3,4,0,3,0,3
Heart of Darkness,Joseph Conrad,Literary Fiction,102,4,4,3,4,5,0,2,4,1
A Tale of Two Cities,Charles Dickens,Literary Fiction,448,5,3,4,5,3,2,0,0,3
Frankenstein,Mary Wollstonecraft Shelley,Horror,208,4,4,4,3,4,0,0,0,2
The Iliad,Homer,Adventure,632,5,5,3,2,5,2,2,0,2
Treasure Island,Robert Louis Stevenson,Adventure,302,5,2,3,5,3,0,0,0,3
Emma,Jane Austen,Romance,544,5,3,3,3,1,0,0,0,1
Great Expectations,Charles Dickens,Literary Fiction,483,5,3,5,4,0,0,0,0,2
Peter Pan,J. M. Barrie,Fantasy,240,5,,3,3,3,,0,,
Sense and Sensibility,Jane Austen,Literary Fiction,352,5,3,3,4,1,1,1,0,1
Wuthering Heights,Emily BrontÃ«,Literary Fiction,400,5,3,2,2,3,1,0,1,2
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,228,5,5,4,5,2,0,0,0,1
The Wonderful Wizard of Oz,L. Frank Baum,Fairy Tale,272,5,3,5,5,3,,0,,
Little Women,Louisa May Alcott,Family Life,798,4,2,4,4,0,,0,,1
Anne of Green Gables,L. M. Montgomery,Coming of Age,336,5,2,5,5,1,1,0,0,1
Don Quixote,Miguel de Cervantes Saavedra,Literary Fiction,347,3,,0,,3,0,3,0,0
Leviathan,Thomas Hobbes,Science Fiction,440,5,2,3,4,2,1,0,0,1
The Odyssey,Homer,Adventure,528,5,5,3,3,4,1,0,0,3
